parameter,L_bin,MLT_bin,value
H_f,4,4,0.15325922053031074
H_f,4,4,1.3984959582635752
H_f,4,4,0.9792161428800704
H_f,4,4,0.9311948506138802
H_f,4,4,0.5455804281632985
H_f,4,4,0.9540781451402853
H_f,4,4,0.9178376018799801
H_f,4,4,0.8177384833074591
H_f,4,4,0.6942454727053234
H_f,4,4,0.6723080107060478
H_f,4,4,1.99428477213467
H_f,4,4,1.2924490339868173
H_f,4,4,1.5150002259633082
H_f,4,4,0.4041479030170282
H_f,4,4,0.5156137684069826
H_f,4,4,1.670689764370138
H_f,4,4,1.8042133954359583
H_f,4,4,1.8432036237130698
H_f,4,4,1.888057892782976
H_f,4,4,1.726561045406099
H_f,4,4,0.9062782382913593
H_f,4,4,0.518216681989282
H_f,4,4,0.8500113795696055
H_f,4,4,1.0588929093541806
H_f,4,4,1.0424863370646695
H_f,4,4,1.0063637840345583
H_f,4,4,1.0263074980357845
H_f,4,4,0.9748901141184656
H_f,4,4,0.9574271953235636
H_f,4,4,0.8277189026708827
H_f,4,4,0.9057556403055675
H_f,4,4,1.344834287455831
H_f,4,4,1.192134280976121
H_f,4,4,0.8677666127328002
H_f,4,4,1.0509429130855144
H_f,4,4,0.9931451394400994
H_f,4,4,0.6875320830724195
H_f,4,4,0.23398715802517958
H_f,4,4,1.198621292131188
H_f,4,4,1.3914269133255204
H_f,4,4,0.5057966771577749
H_f,4,4,0.18366097396672923
H_f,4,4,0.8613675060749185
H_f,4,4,0.9058258521327684
H_f,4,4,1.6778803395952369
H_f,4,4,1.7938614386500813
H_f,4,4,0.8045757357975944
H_f,4,4,0.39023882471155036
H_f,4,4,0.12731320654663453
H_f,4,4,1.9983529567946579
H_f,4,4,0.020232061597371145
H_f,4,4,0.31070845772004346
H_f,4,4,0.4677140195284071
H_f,4,4,1.9563344793335364
H_f,4,4,1.487686885430306
H_f,4,4,0.10215611940652604
H_f,4,4,1.760076795801015
H_f,4,4,1.8357457968650062
H_f,4,4,1.9805008767328882
H_f,4,4,1.185996548337317
H_f,4,4,1.9999270802477083
H_f,4,4,1.7605466263237306
H_f,4,4,1.4564008070260739
H_f,4,4,0.14084919496528678
H_f,4,4,0.003544045122310174
H_f,4,4,1.2238525739241977
H_f,4,4,0.10981583517182927
H_f,4,4,0.002587952389683071
H_f,4,4,0.0677819493225444
H_f,4,4,0.1761779734454223
H_f,4,4,0.0033500561839933944
H_f,4,4,0.512931595224322
H_f,4,4,0.7530509344361966
H_f,4,4,0.7272667471597152
H_f,4,4,0.7803466065285225
H_f,4,4,1.25481001950513
H_f,4,4,1.2016965556688521
H_f,4,4,1.4884597815722338
H_f,4,4,1.3517850451782296
H_f,4,4,1.1205629500695555
H_f,4,4,1.125443844625348
H_f,4,4,1.0676117844170872
H_f,4,4,0.7844094765466825
H_f,4,4,0.45898642492779385
H_f,4,4,1.8294753323251074
H_f,4,4,1.9491720143293843
H_f,4,4,1.9996742252519937
H_f,4,4,1.997789655648727
H_f,4,4,1.9161670841080474
H_f,4,4,1.5843425955968142
H_f,4,4,1.8982956832632556
H_f,4,4,0.6893159595242592
H_f,4,4,1.2577070721304737
H_f,4,4,1.079305115168174
H_f,4,4,0.014157423779176746
H_f,4,4,0.8342439870481019
H_f,4,4,0.3970043849626516
H_f,4,4,1.776369430805609
H_f,4,4,0.005097824442865875
H_f,4,4,0.27167119224056263
H_f,4,4,0.40534709586550044
H_f,4,4,1.7951474781046972
H_f,4,4,1.6375129691135784
H_f,4,4,1.9678508347351245
H_f,4,4,1.770221620104482
H_f,4,4,0.9220540432435613
H_f,4,4,0.1242141112931836
H_f,4,4,0.020191476784367064
H_f,4,4,0.027165099443358046
H_f,4,4,0.7679263137055993
H_f,4,4,1.902684637386329
H_f,4,4,1.4667402625456927
H_f,4,4,0.285520250884727
H_f,4,4,1.2229205329731692
H_f,4,4,1.2273695779318943
H_f,4,4,0.17365911894410557
H_f,4,4,0.4605318289553143
H_f,4,4,1.0460318468886232
H_f,4,4,1.4574678623630488
H_f,4,4,1.587022901820265
H_f,4,4,1.7051663481848587
H_f,4,4,1.3454264325541827
H_f,4,4,0.6040558883395666
H_f,4,4,0.46600144535234483
H_f,4,4,0.3865096015865652
