start,end,duration_seconds
2017-01-01T00:00:00,2017-01-01T17:52:00,64320.0
2017-01-01T20:24:00,2017-01-02T21:18:00,89640.0
2017-01-02T23:44:00,2017-01-04T00:00:00,87360.0
