start,end,duration_seconds
2017-01-01T13:12:02,2017-01-02T00:21:13,40151.0
2017-01-02T03:43:06,2017-01-02T05:25:06,6120.0
2017-01-02T18:49:06,2017-01-03T03:04:57,29751.0
2017-01-03T21:14:14,2017-01-03T23:59:59,9945.0
